"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8151","Delete item from cart","","Tue Mar 04 00:55:38 IST 2025","passed","Tue Mar 04 00:55:46 IST 2025","","Amazon Website E2E testing","",""
"","383","Selecting the search dropdown box and clicking the electronics option from dropdown","","Tue Mar 04 23:27:05 IST 2025","passed","Tue Mar 04 23:27:06 IST 2025","","Amazon Website E2E testing","",""
"","5306","check Amazon Website page is launched","","Tue Mar 04 23:27:00 IST 2025","passed","Tue Mar 04 23:27:05 IST 2025","","Amazon Website E2E testing","",""
"","12306","check Amazon Website page is launched","","Mon Mar 03 18:19:59 IST 2025","failed","Mon Mar 03 18:20:11 IST 2025","","DemoQA app testing","",""
"","8291","Delete item from cart and ver","","Tue Mar 04 23:27:17 IST 2025","passed","Tue Mar 04 23:27:25 IST 2025","","Amazon Website E2E testing","",""
"","2130","Searching Product","","Tue Mar 04 23:27:06 IST 2025","passed","Tue Mar 04 23:27:08 IST 2025","","Amazon Website E2E testing","",""
"","571","Selecting the search dropdown box and verify it containd Electronics option","","Mon Mar 03 18:48:28 IST 2025","failed","Mon Mar 03 18:48:28 IST 2025","","Amazon Website E2E testing","",""
"","1477","Verify that an item exists in the cart","","Tue Mar 04 23:27:16 IST 2025","passed","Tue Mar 04 23:27:17 IST 2025","","Amazon Website E2E testing","",""
"","1693","check Amazon Website page is launched","","Mon Mar 03 18:24:07 IST 2025","passed","Mon Mar 03 18:24:09 IST 2025","","Amazon Website testing","",""
"","7377","Find first product with Amazon Prime","","Mon Mar 03 21:14:40 IST 2025","passed","Mon Mar 03 21:14:47 IST 2025","","Amazon Website E2E testing","",""
"","7641","Find first product with Amazon Prime label and adding to cart","","Tue Mar 04 23:27:08 IST 2025","passed","Tue Mar 04 23:27:16 IST 2025","","Amazon Website E2E testing","",""
